15/07/17,,Montreal Men's Roller Derby,531,Capital District Trauma Authority,18,T1,513,,,,,,,,,,,,,,,,,
15/07/17,,The Skaters Grim,97,Wheels of Mayhem,250,T1,-153,,,,,,,,,,,,,,,,,
15/07/17,,Varsity Derby League,99,Sydney City SMASH,273,T1,-174,,,,,,,,,,,,,,,,,
22/07/17,,Chicago Bruise Brothers,113,Wisconsin Men's Roller Derby,226,T1,-113,,,,,,,,,,,,,,,,,
22/07/17,,Cincinnati Battering Rams,82,Toronto Men's Roller Derby,282,T1,-200,,,,,,,,,,,,,,,,,
22/07/17,,Cleveland Men's Roller Derby,21,Toronto Men's Roller Derby,436,T1,-415,,,,,,,,,,,,,,,,,
22/07/17,,Cleveland Men's Roller Derby,23,Cincinnati Battering Rams,382,T1,-359,,,,,,,,,,,,,,,,,
22/07/17,,Minnesota Men's Roller Derby,338,Chicago Bruise Brothers,53,T1,285,,,,,,,,,,,,,,,,,
22/07/17,,Minnesota Men's Roller Derby,293,Dakota Men's Roller Derby,80,T1,213,,,,,,,,,,,,,,,,,
22/07/17,,Wirral Roller Derby,118,Barrow Infernos,179,T1,-61,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
23/07/17,,Dakota Men's Roller Derby,198,Chicago Bruise Brothers,93,T1,105,,,,,,,,,,,,,,,,,
23/07/17,,Dakota Men's Roller Derby,137,Wisconsin Men's Roller Derby,222,T1,-85,,,,,,,,,,,,,,,,,
29/07/17,,Flour City Fear Men's Roller Derby,154,Pittsburgh Blue Streaks,128,T1,26,,,,,,,,,,,,,,,,,
29/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Manchester Roller Derby,251,Panam Squad,61,T1,190,,,,,,,,,,,,,,,,,
29/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Roller Derby Toulouse,221,Lincolnshire Rolling Thunder,97,T1,124,,,,,,,,,,,,,,,,,
29/07/17,Harvest of Champions - 2017 MRDA European Qualifiers,Roller Derby Toulouse,249,Panam Squad,63,T1,186,,,,,,,,,,,,,,,,,
