20170730,Lincolnshire Rolling Thunder,264,Panam Squad,91
20170730,Lincolnshire Rolling Thunder,126,Manchester Roller Derby,152
20170730,Manchester Roller Derby,151,Roller Derby Toulouse,162
20170730,Panam Squad,72,Tyne and Fear Roller Derby,240
20170730,Roller Derby Toulouse,196,Tyne and Fear Roller Derby,109
20170806,Capital City Hooligans,101,Chicago Bruise Brothers,249
20170812,Austin Anarchy,146,Race City Rebels,149
20170812,Dakota Men's Roller Derby,65,Denver Ground Control,276
20170812,Dakota Men's Roller Derby,75,Minnesota Men's Roller Derby,237
20170812,Denver Ground Control,172,Montreal Men's Roller Derby,138
20170812,Minnesota Men's Roller Derby,132,Montreal Men's Roller Derby,156
20170812,Philadelphia Hooligans,204,Race City Rebels,132
20170812,Southern Discomfort,317,Tyne and Fear Roller Derby,92
20170813,Austin Anarchy,226,Montreal Men's Roller Derby,122
20170813,Austin Anarchy,125,Philadelphia Hooligans,143
20170813,Dakota Men's Roller Derby,101,Montreal Men's Roller Derby,205
20170813,Denver Ground Control,122,Race City Rebels,199
20170813,Minnesota Men's Roller Derby,132,Race City Rebels,213
20170819,Nottingham Roller Derby,114,Wirral Roller Derby,167
20170916,Detroit Men's Roller Derby,230,Capital City Hooligans,123
20170924,Granite City Brawlers,209,Nottingham Roller Derby,190
20171007,Varsity Derby League,152,Sydney City SMASH,147
20171013,Vancouver Murder,174,Manchester Roller Derby,200
20171013,Roller Derby Toulouse,249,Philadelphia Hooligans,125
20171013,Puget Sound Outcast Derby,205,Austin Anarchy,162
20171013,San Diego Aftershocks,207,New York Shock Exchange,81
20171013,St. Louis Gatekeepers,352,Manchester Roller Derby,83
20171013,Bridgetown Roller Derby,266,Roller Derby Toulouse,83
20171014,Southern Discomfort,308,Puget Sound Outcast Derby,96
20171014,Vancouver Murder,270,Philadelphia Hooligans,69
20171014,Manchester Roller Derby,186,New York Shock Exchange,123
20171014,Roller Derby Toulouse,336,Puget Sound Outcast Derby,162
20171014,St. Louis Gatekeepers,204,San Diego Aftershocks,133
20171014,Bridgetown Roller Derby,233,Southern Discomfort,123
20171015,Philadelphia Hooligans,192,Austin Anarchy,171
20171015,Manchester Roller Derby,163,Roller Derby Toulouse,200
20171015,Vancouver Murder,217,Austin Anarchy,139
20171015,San Diego Aftershocks,241,Southern Discomfort,151
20171015,St. Louis Gatekeepers,181,Bridgetown Roller Derby,156
20171015,Atlanta Men's Roller Derby,178,Capital City Hooligans,127
20171028,East Anglo Smacksons,53,Granite City Brawlers,271
20171028,Collision Men's Derby,284,Harm City Men's Derby,109
20171028,Lane County Concussion,215,The Skaters Grim,125
20171111,Nottingham Roller Derby,389,East Anglo Smacksons,78
20171111,Brisbane City Rollers,225,Varsity Derby League,91
20171118,New York Shock Exchange,281,Quadfathers Men's Roller Derby,67
20171216,Nottingham Roller Derby,171,West Swedish Roller Derby Society,141
20171216,South Wales Silures,85,Panam Squad,332
20180210,Crash Test Brummies,61,Tyne and Fear Roller Derby,359
20180210,Barrow Infernos,81,Manchester Roller Derby,400
20180210,Casco Bay Gentlemen's Derby,106,Atlanta Men's Roller Derby,232
20180210,Collision Men's Derby,34,Magic City Misfits,548
20180210,Carolina Wreckingballs,101,Magic City Misfits,324
20180210,Collision Men's Derby,135,Atlanta Men's Roller Derby,248
20180210,Casco Bay Gentlemen's Derby,55,Carolina Wreckingballs,344
20180303,Atlanta Men's Roller Derby,102,Carolina Wreckingballs,247
