Wheels of Mayhem,691.30126690563043
The Inhuman League,440.44918056937581
Bridgetown Roller Derby,992.93262750121789
West Swedish Roller Derby Society,562.4515895625932
Harm City Men's Derby,559.14958671967531
Tyne and Fear Roller Derby,818.16043748511015
Montreal Men's Roller Derby,736.50812414670872
Wisconsin Men's Roller Derby,650.10800457183677
Manneken Beasts,749.56641311736416
Chicago Bruise Brothers,589.84158699011277
Toronto Men's Roller Derby,722.89635498829989
Magic City Misfits,839.12709838651006
Manchester Roller Derby,870.22849415863175
Barrow Infernos,710.23452009223956
New Orleans Brass Roller Derby,500.06050789371636
New York Shock Exchange,857.9874189538782
Wirral Roller Derby,641.78994719513048
South Wales Silures,586.50712790187811
Varsity Derby League,582.22129582151865
Pittsburgh Blue Streaks,480.44306488590172
Quadfathers Men's Roller Derby,714.62121395960025
Casco Bay Gentlemen's Derby,572.95029197925226
Flour City Fear Men's Roller Derby,536.13990785901296
Lincolnshire Rolling Thunder,835.92259258989782
Mass Maelstrom,781.42022525046332
Drive-By City Rollers,705.75406545197416
Texas Men's Roller Derby,855.32679149335445
Thunderquads Roller Derby Masculino,745.94449209852883
Nottingham Roller Derby,582.02062721444236
Vancouver Murder,849.0627237554761
Carolina Wreckingballs,707.16220109185747
Collision Men's Derby,615.40112071123133
Southern Discomfort,933.30365117819281
Minnesota Men's Roller Derby,743.29071744293492
Denver Ground Control,765.67200200842319
Panam Squad,722.75549914449516
Roller Derby Toulouse,889.65817253432317
Puget Sound Outcast Derby,842.43655115269257
Victoria Men's Roller Derby,740.38902202774352
Philadelphia Hooligans,789.56470642395345
St. Louis Gatekeepers,1000.0
Oklahoma Men's Roller Derby,780.64257252644279
Austin Anarchy,787.84698730417961
Detroit Men's Roller Derby,532.80108983534205
Glenmore Reservoir Dogs,676.99808428064205
Crash Test Brummies,628.97527147634969
Capital District Trauma Authority,498.83264073631221
Atlanta Men's Roller Derby,622.44304035102823
The Skaters Grim,634.3905636471178
San Diego Aftershocks,957.36385302660346
Capital City Hooligans,509.24405258403522
Lille Moustaches,582.53821753417947
Granite City Brawlers,590.62103498275189
Tampa Bay Men's Roller Derby,711.85216700117894
Race City Rebels,773.61452224705158
Sydney City SMASH,637.37904544169078
Cincinnati Battering Rams,638.80178764213235
Brisbane City Rollers,636.27254146393454
Lane County Concussion,673.79125084584064
Dakota Men's Roller Derby,646.17017775632644
East Anglo Smacksons,424.24146468024014
Cleveland Men's Roller Derby,473.91815049039263
